"TOA5","CR1000","CR1000","45587","CR1000.Std.22","CPU:untitled.CR1","60265","Table1"
"TIMESTAMP","RECORD","BattV","PTemp_C","Temp_C"
"TS","RN","Volts","Deg C","Deg C"
"","","Smp","Smp","Smp"
"2016-01-13 14:10:54",0,12.25,23.52,22.66
"2016-01-13 14:10:55",1,12.25,23.52,22.66
"2016-01-13 14:10:56",2,12.26,23.52,22.66
"2016-01-13 14:10:57",3,12.25,23.52,22.65
"2016-01-13 14:10:58",4,12.26,23.52,22.65
"2016-01-13 14:10:59",5,12.25,23.52,22.65
"2016-01-13 14:11:00",6,12.26,23.52,22.64
"2016-01-13 14:11:01",7,12.25,23.52,22.64
"2016-01-13 14:11:02",8,12.25,23.52,22.65
"2016-01-13 14:11:03",9,12.26,23.52,22.63
"2016-01-13 14:11:04",10,12.25,23.52,22.64
"2016-01-13 14:11:05",11,12.26,23.52,22.64
"2016-01-13 14:11:06",12,12.25,23.52,22.64
"2016-01-13 14:11:07",13,12.26,23.52,22.63
"2016-01-13 14:11:08",14,12.26,23.52,22.63
"2016-01-13 14:11:09",15,12.25,23.52,22.62
"2016-01-13 14:11:10",16,12.26,23.52,22.62
"2016-01-13 14:11:11",17,12.26,23.52,22.62
"2016-01-13 14:11:12",18,12.26,23.52,22.62
"2016-01-13 14:11:13",19,12.25,23.52,22.62
"2016-01-13 14:11:14",20,12.25,23.52,22.62
"2016-01-13 14:11:15",21,12.25,23.52,22.62
"2016-01-13 14:11:16",22,12.25,23.52,22.62
"2016-01-13 14:11:17",23,12.26,23.52,22.62
"2016-01-13 14:11:18",24,12.26,23.52,22.62
"2016-01-13 14:11:19",25,12.26,23.52,22.61
"2016-01-13 14:11:20",26,12.25,23.52,22.6
"2016-01-13 14:11:21",27,12.26,23.52,22.61
"2016-01-13 14:11:22",28,12.26,23.52,22.6
"2016-01-13 14:11:23",29,12.25,23.52,22.6
"2016-01-13 14:11:24",30,12.25,23.52,22.6
"2016-01-13 14:11:25",31,12.25,23.52,22.6
"2016-01-13 14:11:26",32,12.26,23.52,22.61
"2016-01-13 14:11:27",33,12.26,23.52,22.62
"2016-01-13 14:11:28",34,12.25,23.52,22.62
"2016-01-13 14:11:29",35,12.26,23.52,22.62
"2016-01-13 14:11:30",36,12.25,23.52,22.62
"2016-01-13 14:11:31",37,12.25,23.52,22.62
"2016-01-13 14:11:32",38,12.25,23.52,22.62
"2016-01-13 14:11:33",39,12.26,23.52,22.62
"2016-01-13 14:11:34",40,12.26,23.52,22.62
"2016-01-13 14:11:35",41,12.25,23.52,22.62
"2016-01-13 14:11:36",42,12.26,23.52,22.61
"2016-01-13 14:11:37",43,12.25,23.52,22.61
"2016-01-13 14:11:38",44,12.26,23.52,22.61
"2016-01-13 14:11:39",45,12.25,23.52,22.6
"2016-01-13 14:11:40",46,12.25,23.52,22.6
"2016-01-13 14:11:41",47,12.25,23.52,22.59
"2016-01-13 14:11:42",48,12.25,23.52,22.59
"2016-01-13 14:11:43",49,12.25,23.52,22.59
"2016-01-13 14:11:44",50,12.25,23.52,26.3
"2016-01-13 14:11:45",51,12.25,23.52,28.39
"2016-01-13 14:11:46",52,12.25,23.52,29.33
"2016-01-13 14:11:47",53,12.26,23.52,29.91
"2016-01-13 14:11:48",54,12.26,23.52,30.31
"2016-01-13 14:11:49",55,12.26,23.52,30.19
"2016-01-13 14:11:50",56,12.25,23.52,29.11
"2016-01-13 14:11:51",57,12.26,23.52,28.4
"2016-01-13 14:11:52",58,12.26,23.52,27.85
"2016-01-13 14:11:53",59,12.26,23.52,27.41
"2016-01-13 14:11:54",60,12.26,23.52,27.01
"2016-01-13 14:11:55",61,12.26,23.52,26.66
"2016-01-13 14:11:56",62,12.26,23.52,26.35
"2016-01-13 14:11:57",63,12.26,23.52,26.07
"2016-01-13 14:11:58",64,12.25,23.52,25.82
"2016-01-13 14:11:59",65,12.26,23.52,25.61
"2016-01-13 14:12:00",66,12.25,23.52,25.41
"2016-01-13 14:12:01",67,12.26,23.52,25.23
"2016-01-13 14:12:02",68,12.25,23.52,25.08
"2016-01-13 14:12:03",69,12.26,23.52,24.91
"2016-01-13 14:12:04",70,12.25,23.52,24.78
"2016-01-13 14:12:05",71,12.26,23.52,24.64
"2016-01-13 14:12:06",72,12.25,23.52,24.53
"2016-01-13 14:12:07",73,12.25,23.52,24.43
"2016-01-13 14:12:08",74,12.26,23.52,24.35
"2016-01-13 14:12:09",75,12.25,23.52,24.25
"2016-01-13 14:12:10",76,12.26,23.52,24.15
"2016-01-13 14:12:11",77,12.26,23.52,24.06
"2016-01-13 14:12:12",78,12.25,23.52,24
"2016-01-13 14:12:13",79,12.25,23.52,23.94
"2016-01-13 14:12:14",80,12.26,23.52,23.87
"2016-01-13 14:12:15",81,12.25,23.52,23.81
"2016-01-13 14:12:16",82,12.26,23.52,23.74
"2016-01-13 14:12:17",83,12.25,23.52,23.69
"2016-01-13 14:12:18",84,12.25,23.52,23.64
"2016-01-13 14:12:19",85,12.25,23.52,23.59
"2016-01-13 14:12:20",86,12.25,23.52,23.54
"2016-01-13 14:12:21",87,12.26,23.52,23.49
"2016-01-13 14:12:22",88,12.26,23.52,23.46
"2016-01-13 14:12:23",89,12.25,23.52,23.41
"2016-01-13 14:12:24",90,12.25,23.52,23.37
"2016-01-13 14:12:25",91,12.26,23.52,23.35
"2016-01-13 14:12:26",92,12.26,23.52,23.32
"2016-01-13 14:12:27",93,12.25,23.52,23.28
"2016-01-13 14:12:28",94,12.25,23.52,23.25
"2016-01-13 14:12:29",95,12.26,23.52,23.22
"2016-01-13 14:12:30",96,12.25,23.52,23.21
"2016-01-13 14:12:31",97,12.26,23.52,23.19
"2016-01-13 14:12:32",98,12.25,23.52,23.16
"2016-01-13 14:12:33",99,12.25,23.52,23.14
"2016-01-13 14:12:34",100,12.26,23.52,23.12
"2016-01-13 14:12:35",101,12.25,23.52,23.12
"2016-01-13 14:12:36",102,12.25,23.52,23.11
"2016-01-13 14:12:37",103,12.25,23.52,23.09
"2016-01-13 14:12:38",104,12.25,23.52,23.07
"2016-01-13 14:12:39",105,12.25,23.52,23.06
"2016-01-13 14:12:40",106,12.25,23.52,23.05
"2016-01-13 14:12:41",107,12.25,23.52,23.03
"2016-01-13 14:12:42",108,12.25,23.52,23.02
"2016-01-13 14:12:43",109,12.25,23.52,23.02
"2016-01-13 14:12:44",110,12.25,23.52,23
"2016-01-13 14:12:45",111,12.25,23.52,22.98
"2016-01-13 14:12:46",112,12.25,23.52,22.97
"2016-01-13 14:12:47",113,12.25,23.52,22.95
"2016-01-13 14:12:48",114,12.25,23.52,22.95
"2016-01-13 14:12:49",115,12.25,23.52,22.93
"2016-01-13 14:12:50",116,12.25,23.52,22.92
"2016-01-13 14:12:51",117,12.25,23.52,22.9
"2016-01-13 14:12:52",118,12.25,23.52,22.9
"2016-01-13 14:12:53",119,12.26,23.52,22.88
"2016-01-13 14:12:54",120,12.25,23.52,22.88
"2016-01-13 14:12:55",121,12.25,23.52,22.87
"2016-01-13 14:12:56",122,12.25,23.52,22.87
"2016-01-13 14:12:57",123,12.25,23.52,22.85
"2016-01-13 14:12:58",124,12.25,23.52,22.84
"2016-01-13 14:12:59",125,12.25,23.52,22.83
"2016-01-13 14:13:00",126,12.25,23.52,22.82
"2016-01-13 14:13:01",127,12.25,23.52,22.81
"2016-01-13 14:13:02",128,12.25,23.52,22.8
"2016-01-13 14:13:03",129,12.25,23.52,22.78
"2016-01-13 14:13:04",130,12.25,23.52,22.78
"2016-01-13 14:13:05",131,12.25,23.52,22.77
"2016-01-13 14:13:06",132,12.26,23.52,22.77
"2016-01-13 14:13:07",133,12.25,23.52,22.77
"2016-01-13 14:13:08",134,12.25,23.52,22.75
"2016-01-13 14:13:09",135,12.25,23.52,22.74
"2016-01-13 14:13:10",136,12.25,23.52,22.73
"2016-01-13 14:13:11",137,12.25,23.52,22.72
"2016-01-13 14:13:12",138,12.25,23.52,22.7
"2016-01-13 14:13:13",139,12.25,23.52,22.7
"2016-01-13 14:13:14",140,12.25,23.52,22.68
"2016-01-13 14:13:15",141,12.25,23.52,22.68
"2016-01-13 14:13:16",142,12.25,23.52,22.67
"2016-01-13 14:13:17",143,12.25,23.52,22.65
"2016-01-13 14:13:18",144,12.25,23.52,22.65
"2016-01-13 14:13:19",145,12.25,23.52,22.65
"2016-01-13 14:13:20",146,12.25,23.52,22.64
"2016-01-13 14:13:21",147,12.25,23.52,22.64
"2016-01-13 14:13:22",148,12.25,23.52,22.63
"2016-01-13 14:13:23",149,12.25,23.52,22.63
"2016-01-13 14:13:24",150,12.25,23.52,23.17
"2016-01-13 14:13:25",151,12.25,23.52,26.8
"2016-01-13 14:13:26",152,12.25,23.52,27.94
"2016-01-13 14:13:27",153,12.25,23.52,27.09
"2016-01-13 14:13:28",154,12.25,23.52,26.56
"2016-01-13 14:13:29",155,12.25,23.52,26.17
"2016-01-13 14:13:30",156,12.25,23.52,25.84
"2016-01-13 14:13:31",157,12.25,23.52,25.54
"2016-01-13 14:13:32",158,12.25,23.52,25.29
"2016-01-13 14:13:33",159,12.25,23.52,25.08
"2016-01-13 14:13:34",160,12.25,23.52,24.88
"2016-01-13 14:13:35",161,12.25,23.52,24.71
"2016-01-13 14:13:36",162,12.25,23.52,24.56
"2016-01-13 14:13:37",163,12.25,23.52,24.43
"2016-01-13 14:13:38",164,12.25,23.52,24.3
"2016-01-13 14:13:39",165,12.25,23.52,24.19
"2016-01-13 14:13:40",166,12.25,23.52,24.1
"2016-01-13 14:13:41",167,12.25,23.52,24.01
"2016-01-13 14:13:42",168,12.25,23.52,23.94
"2016-01-13 14:13:43",169,12.25,23.52,23.85
"2016-01-13 14:13:44",170,12.25,23.52,23.77
"2016-01-13 14:13:45",171,12.25,23.52,23.71
"2016-01-13 14:13:46",172,12.25,23.52,23.64
"2016-01-13 14:13:47",173,12.25,23.52,23.59
"2016-01-13 14:13:48",174,12.25,23.52,23.94
"2016-01-13 14:13:49",175,12.25,23.52,26.82
"2016-01-13 14:13:50",176,12.25,23.52,27.91
"2016-01-13 14:13:51",177,12.25,23.52,28.64
"2016-01-13 14:13:52",178,12.25,23.52,29.12
"2016-01-13 14:13:53",179,12.25,23.52,29.45
"2016-01-13 14:13:54",180,12.25,23.52,29.73
"2016-01-13 14:13:55",181,12.25,23.52,29.96
"2016-01-13 14:13:56",182,12.25,23.52,30.16
"2016-01-13 14:13:57",183,12.25,23.52,30.33
"2016-01-13 14:13:58",184,12.25,23.52,30.46
"2016-01-13 14:13:59",185,12.25,23.52,30.56
"2016-01-13 14:14:00",186,12.25,23.52,30.68
"2016-01-13 14:14:01",187,12.25,23.52,30.76
"2016-01-13 14:14:02",188,12.25,23.52,29.86
